kind,sha256,subject_ids,duplicate
raw_rec_sha256,4ff7c64f79131213e15107a4f53d40db0081ec2246142b67d2343b2b8dbbb42f,I001,False
raw_rec_sha256,adf2129c7a296a72d29a2b5f84955bfa4ad5b1913a9c741ebdbc261715ffd2b9,I002,False
raw_rec_sha256,92c2dc2efde9a811b4b5e458bc20f184493fc8af58077f509e1220407c1ddef7,I003,False
raw_rec_sha256,bc0c2b2ae719464a8cafe7cf4ad70639d14951a69dd310b63c55592bb99bbfce,I004,False
raw_rec_sha256,8c666ae94531f0dfad5301f09a3be87a13af813209166a703240375ec6803b2d,I005,False
raw_rec_sha256,4540ab0c2329e7b0742470c80ee97b8c39a566fab49b0481f193f7fca3913cd6,I006,False
raw_rec_sha256,e4fc74997855b07be59e5512bc8fbb8c3d73ed6d80e9ad46a0c612c46d216065,I007,False
raw_rec_sha256,7d4744746d62b7ed4cb99e152a8256e5299b1eadaeda7bfe19238945650dcb25,I008,False
raw_rec_sha256,7ccad29d0d095ad8b981fe8270920e4e3b870913b449b7d0f367125be80b7211,I009,False
raw_rec_sha256,318e58a7cdf06667686274d7c0e7454b87790ef534cfe2b3363f048c1e71577d,I010,False
raw_rec_sha256,ea67c90484c6411c0d265bf82571c926d0ddbf945a50ce4770bd64c045a045ff,I011,False
raw_rec_sha256,1e42dbbc8ba74d3801eb43ba1900b7e7b74fc936e058f5c0fe632863be768271,I012,False
raw_rec_sha256,40169513f0e143fb7d0be143b4f219145365896ed9a90bcc9788ac010b441beb,I013,False
raw_rec_sha256,4d311808c2b890416bf41bad521d14745786f375c248100a945a6614772f54af,I014,False
raw_rec_sha256,75356fa21b0bf2e30c9c69bb6f8ab1d5d20bfeb514ae7991c539bbed1cc544a4,I015,False
raw_rec_sha256,c5f86eb258d3e7aff79f6afc0ac4aa7f06ee3eaff1055d38a10ddc6171b0f25a,I016,False
raw_rec_sha256,4dbed311222c4756e865d17973aa4be584a2c4ea2db9a9c872cd9237e8cd226f,I017,False
raw_rec_sha256,cc66ab5d9f5346eba114fcf91d0dd5f62a6b1632983ea81ad78ca958f05df353,I018,False
raw_rec_sha256,b84756a3391a806816a7b59d9716ed6093f3936eafde36e8ecb5a21797f3f70b,I019,False
raw_rec_sha256,e91bf76f8965b94f3b1b8c984c0f04d788ad208fb4820170749a27ccbac713cd,I020,False
raw_rec_sha256,bede07f49369c6321d873c1e0a28a2e6debb6e85fe24666d3aa2fd952c7277d0,I021,False
raw_rec_sha256,a237c3b257c4144fe34b9d927ca74ee87c22c32a8dc613fa228b2eb083982b5f,I022,False
raw_rec_sha256,b0c159e2705d9c46aca359083535a4ecaa404584a078561ecaca71607909a742,I023,False
raw_rec_sha256,8f2cb0f387ba8524b6cd20dd9f53496bc1850c707f13e0954f21c381efede4d6,I024,False
raw_rec_sha256,2c3c8030294282a7c35cf1c08cb7f7d4648840a6515e0255fd81215a6b7ac6e6,I025,False
raw_rec_sha256,d71460c5370fbc5e1fde7d9cbbfff9683e6c6b19edcb18d03eabf80af9858395,I026,False
raw_rec_sha256,388c46d6783e3d33bc8c3c26fd48720de4c2990a3fcab3f3033ed5821672432b,I027,False
raw_rec_sha256,4476881fcddf50a82c85b3a830c9c16087f6dd43cc28aea755394660d5242158,I028,False
raw_rec_sha256,9de01a2bca04fba5f09fe85520e7827f5a5c3703ecc6857eb63379c3cf7fe4e6,I029,False
raw_rec_sha256,9a62a6fafe27900e6c9f1e900e6ab7f60faecd7fe09f80fe22c604ed499a6b1f,I030,False
raw_rec_sha256,bd99f1d24e1853a7b905d1989b5b125a5f74c45cdbba0758c5afc55f97037b13,I031,False
raw_rec_sha256,6df908720d3ed03c8310a839c1ca62847de14d55fca96852906e9937894782f0,I032,False
raw_rec_sha256,38b9336a592bb057c87ecdd3c79432b7ae241dc0259db41158b49fa840eed3bc,I033,False
raw_rec_sha256,69136a14e40e0553cadb172aeb05070598606fbc2d9edb54d3a601940efd86a6,I034,False
raw_rec_sha256,bb341981ad750e2c90436cead6f38fcef61671e24d59a3ba5c1dd8431ef67c32,I035,False
raw_rec_sha256,bc34985ca18f6847607e4e1c761ae0876c52af4afbdbfa2003ba9f3f6d8cd25d,I036,False
raw_rec_sha256,5b5f59d34cc13154d697eba1fdaef0113a6e5e1866591f289eebaad84dc18c55,I037,False
raw_rec_sha256,58051e2e44e603a03d01fb36975013ac91a2f6b2a3a253a6397b65b8b564ec16,I038,False
raw_rec_sha256,3f5486b437d864d2176ec310c711450b8f1fbd3ddd561ae5ec702a519d4b94d6,I039,False
raw_rec_sha256,8bc461e9a0826e69cbacc089e8a636cd2e124d01b7e3e89bae9eed1667b60a9d,I041,False
raw_rec_sha256,416616d30e36533a4a31c87d4006a75dce8f1579347fe317854e532453250541,I042,False
raw_rec_sha256,74d930e5ca27a5dbd1e670e56bb68909f3effb2a859479f6dc55d27124e7ca91,I043,False
raw_rec_sha256,a627e46c50f780d257a2d9e91b596231b2b6b28f948e27753dde12030c19e419,I044,False
raw_rec_sha256,17f156444adcc96f6f8028063de891c97a1a96463e08f6ead74a0139dbc2139d,I045,False
raw_rec_sha256,4993dc98685362cc44756a4db68fc5e0ba74b2e4cb4757562a3c895950b2cbd1,I046,False
raw_rec_sha256,eda123ec8ab69746a16a69299a449ac75dd0caaf299e3cab83e41eb4e7b1e9ae,I047,False
raw_rec_sha256,d40ad2e63395f4cfedec32f7d3467783b868794afca1e77089a7525dcbc6449f,I048,False
raw_rec_sha256,636eeb6f68ba0adfd79657a138d04ec15bde80285f6425b5706e1ebb133e1405,I049,False
raw_rec_sha256,e3cb86e3e8376e1538f968c4d7a19b960c413e76944ae23459944d2c0d53f4b1,I050,False
raw_rec_sha256,4addb575b9bfab1c8b16344442e440b18f89007fa0fe9debbf9d0931da37417a,I051,False
raw_rec_sha256,b4c5f3f38bf733c7e093caef7a7adb64680bc676b2279fc3c522c1f1e394e108,I052,False
raw_rec_sha256,1481b426ddd470bde7a8c3663a62a46b53cc760db9bb94c5510ad1daaad28850,I053,False
raw_rec_sha256,10a4c090859b1b71b36d3ddebb0129d18c3724f1fa8ea55bc7ec21e7e6e95c46,I054,False
raw_rec_sha256,203693da55b09e843dc432314efa7ccf202d316c6e9c9d24c6781ba3c01940d8,I055,False
raw_rec_sha256,829cc9beb922e1178ed227331fb11f03fd812e0b66c93accac245e6203ad07db,I056,False
raw_rec_sha256,f420a1fda849cdbbff9c4b8b572034baa749a37ec1c0d87045e69e7dc10f7fee,I057,False
raw_rec_sha256,abb829e7712064608a982c31d494c8e8269c9064cd7f4738061c8a9deff4c086,I058,False
raw_rec_sha256,15cd1ec09bc4323ee1487129db4b3aa1be1aa748bea623142f5818a59b7eb51b,I059,False
raw_rec_sha256,f7f66f7ab5553871ed80787ead6513e2b0e53554ddeb76629c532a804cf48197,I060,False
raw_rec_sha256,50b29b1eb048679a835300fbd54dae60b7911000e0f1c68c2cc8c09f2c83f3cf,I061,False
raw_rec_sha256,fcae609d506388a6659f1fba4896b56ea5bbd3b9c3df243c1094b35db9ca40f4,I062,False
raw_rec_sha256,a95ec062050f748f4e863064a440c887644d66ac6075be73ee6c30a88760155e,I063,False
raw_rec_sha256,cc1cd6eb1f2a68acb5c703d3cdcee84f9361dd4428bc15af277849d16c3968a2,I064,False
raw_rec_sha256,0e42afc029536b2878ee329a2816caa0e142152f4ff7f52a4eb430c0337cbd23,I065,False
raw_rec_sha256,43fca0100e60539129c876c28d1f95e3acd49167d201c57079140d08c9371e57,I066,False
raw_rec_sha256,815c47d0dabfee59949cfa85135c4d4f62defac8af33d4d5dfda838244184c8f,I067,False
raw_rec_sha256,3a6e486ea125922ff3cd7d3ee926c8bc8c54823365f941f29d473bf96ba810c2,I068,False
raw_rec_sha256,d5605553986a8e95f5361cf003a1b9a7adfdb86ed080904fa3d1344c9c622144,I069,False
raw_rec_sha256,e7464137b1483a54beabd8d151db6055a1a315666bb31085774d511ee31635b6,I070,False
raw_rec_sha256,efe85033703a8c81e9d43aaa036ea2ad88898a9ad1e5e1636922c0e2b4df8e30,I071,False
processed_output_sha256,d31d796168b7b60130ad333e7624b593cab852bff69a2bb99e85f13b5bd9072d,I001,False
processed_output_sha256,93bc6bd79660255ec5e4c2a0e153cf4d97c18b92c41be481ba1691a7c90f2a7b,I002,False
processed_output_sha256,a5510eb07d556dcb2da7e4bd0b45038168fef6ca0461a9ca5e4f057f9ea402b1,I003,False
processed_output_sha256,5bafb2f8177388bd8c089135cbfd3e4064fe52a494e7b7aef0e685a6fba08293,I004,False
processed_output_sha256,679f37d1a9f6872a88fc426c6287a119e7f2874b42a35bfbadfa33b15eb077f5,I005,False
processed_output_sha256,e25691601f33d4a3d0f12a2d8413bb7a30a1efea7cc366b284cb8a6394cb3d4d,I006,False
processed_output_sha256,f9c777532487d3b441ead0aea8862576b91aba9085e811c2611726125e5a7c77,I007,False
processed_output_sha256,49ceb30d79fcf8869ad7a640d94feb0e5605655aea40a42e4b179ac6f4bb381e,I008,False
processed_output_sha256,f4b74eb05ae1d7d11b3ea333103ad030674e8291a694ddedb2b70100742f34c2,I009,False
processed_output_sha256,3fecc461601fd343395e45b04b107245c5c896550c6de1259fb01e90b2bedeb5,I010,False
processed_output_sha256,fa84d1b75dae365e9ba509e9278837bda463c8d83c91397037a47b9ad4e3eeb5,I011,False
processed_output_sha256,06bce6eded88937ad1826d986b5536849c5e32c177732558ccfb8153c37cfc61,I012,False
processed_output_sha256,5c7695bbd0e42a469a6addef474d08b5aed1afefe077e40585878e3b2557bd60,I013,False
processed_output_sha256,3ed785fc4e98a3303ecf3fac0bb80aaff2e6da557ff05216b7ed650d73fdb70a,I014,False
processed_output_sha256,9dc366aff427ae664f67442b5b80b77703a07310e67ba2d089af5ea1b30b2977,I015,False
processed_output_sha256,dff1e370f24b440e30b2c22a1a41fa5bf89fc58be9b2ba1ca5aa1b28a3bc4fdb,I016,False
processed_output_sha256,c4fa15d8df074eabb0f931d6f8d1ff1d6d02fea5053b5fdb402e56ddc16b8d50,I017,False
processed_output_sha256,946dd2028e6eace817c856f46213b8c8217750e5b896d242f720a43893a5e6f9,I018,False
processed_output_sha256,3318b216607ae324ab3430d31f4ab3d57785bc04cd3738a4a534a6a0fb24f64d,I019,False
processed_output_sha256,3b050c244b36da2be145bb03ea0853e13777a654cfa2941b7b6609f6b8e00f5c,I020,False
processed_output_sha256,567d8b82d818b04550a36b6ef2f3e7d6fa561b71aafeb66b038ddd4d0302407b,I021,False
processed_output_sha256,b3e926c9346dcc754b04126e59a743c68154c990480cbb646c947626fa6e6fae,I022,False
processed_output_sha256,464ca1361c1b1d25086dd95cb92120f46e3a6215ad3b0f125322c5129819e358,I023,False
processed_output_sha256,acd19f2067de3355fd12d20075eb55b4a3ea4b593bed438b927555d4ba45a717,I024,False
processed_output_sha256,54c9f3ff438f9324aa2466c87ac0af0d0aef146f98d37bdae2db83c5a1621874,I025,False
processed_output_sha256,ca138d858821100d71a8f8669bce2d85154be76a5ce501f31f97f3ee6355ccc6,I026,False
processed_output_sha256,4654bb9f4d91120eb178afd3e72e305cdcd9396f7f5056fa836fc15f34c5c17e,I027,False
processed_output_sha256,86be7a9c53c5ad6263bf46e52b375c4fe93bd670c2f52e0351343586a8888180,I028,False
processed_output_sha256,83b001c973a9243b1e8db393dd348bebab80ecbb5e0b9cbf33903ec3e578d7e9,I029,False
processed_output_sha256,751593bbbda2777e0f9cb01afbeed5c3d68d34f03697c43c6b6bcdbd42ca87bd,I030,False
processed_output_sha256,94673329f6c238bd85ffd31981f3a7ff473122b45f863745306f575672316699,I031,False
processed_output_sha256,e119ed9b41c354845258ef2a2ca5bff46c7601dd14943f0af020eb66827daff1,I032,False
