subject_id,montage_variant,run_1_sha256,run_2_sha256,identical,status
I001,ISRUC_A1A2,d31d796168b7b60130ad333e7624b593cab852bff69a2bb99e85f13b5bd9072d,d31d796168b7b60130ad333e7624b593cab852bff69a2bb99e85f13b5bd9072d,True,PASS
I002,ISRUC_A1A2,93bc6bd79660255ec5e4c2a0e153cf4d97c18b92c41be481ba1691a7c90f2a7b,93bc6bd79660255ec5e4c2a0e153cf4d97c18b92c41be481ba1691a7c90f2a7b,True,PASS
I003,ISRUC_A1A2,a5510eb07d556dcb2da7e4bd0b45038168fef6ca0461a9ca5e4f057f9ea402b1,a5510eb07d556dcb2da7e4bd0b45038168fef6ca0461a9ca5e4f057f9ea402b1,True,PASS
I004,ISRUC_A1A2,5bafb2f8177388bd8c089135cbfd3e4064fe52a494e7b7aef0e685a6fba08293,5bafb2f8177388bd8c089135cbfd3e4064fe52a494e7b7aef0e685a6fba08293,True,PASS
I005,ISRUC_A1A2,679f37d1a9f6872a88fc426c6287a119e7f2874b42a35bfbadfa33b15eb077f5,679f37d1a9f6872a88fc426c6287a119e7f2874b42a35bfbadfa33b15eb077f5,True,PASS
I006,ISRUC_A1A2,e25691601f33d4a3d0f12a2d8413bb7a30a1efea7cc366b284cb8a6394cb3d4d,e25691601f33d4a3d0f12a2d8413bb7a30a1efea7cc366b284cb8a6394cb3d4d,True,PASS
I007,ISRUC_A1A2,f9c777532487d3b441ead0aea8862576b91aba9085e811c2611726125e5a7c77,f9c777532487d3b441ead0aea8862576b91aba9085e811c2611726125e5a7c77,True,PASS
I008,ISRUC_A1A2,49ceb30d79fcf8869ad7a640d94feb0e5605655aea40a42e4b179ac6f4bb381e,49ceb30d79fcf8869ad7a640d94feb0e5605655aea40a42e4b179ac6f4bb381e,True,PASS
I009,ISRUC_A1A2,f4b74eb05ae1d7d11b3ea333103ad030674e8291a694ddedb2b70100742f34c2,f4b74eb05ae1d7d11b3ea333103ad030674e8291a694ddedb2b70100742f34c2,True,PASS
I010,ISRUC_A1A2,3fecc461601fd343395e45b04b107245c5c896550c6de1259fb01e90b2bedeb5,3fecc461601fd343395e45b04b107245c5c896550c6de1259fb01e90b2bedeb5,True,PASS
I011,ISRUC_M1M2,fa84d1b75dae365e9ba509e9278837bda463c8d83c91397037a47b9ad4e3eeb5,fa84d1b75dae365e9ba509e9278837bda463c8d83c91397037a47b9ad4e3eeb5,True,PASS
I012,ISRUC_A1A2,06bce6eded88937ad1826d986b5536849c5e32c177732558ccfb8153c37cfc61,06bce6eded88937ad1826d986b5536849c5e32c177732558ccfb8153c37cfc61,True,PASS
I013,ISRUC_M1M2,5c7695bbd0e42a469a6addef474d08b5aed1afefe077e40585878e3b2557bd60,5c7695bbd0e42a469a6addef474d08b5aed1afefe077e40585878e3b2557bd60,True,PASS
I014,ISRUC_M1M2,3ed785fc4e98a3303ecf3fac0bb80aaff2e6da557ff05216b7ed650d73fdb70a,3ed785fc4e98a3303ecf3fac0bb80aaff2e6da557ff05216b7ed650d73fdb70a,True,PASS
I015,ISRUC_A1A2,9dc366aff427ae664f67442b5b80b77703a07310e67ba2d089af5ea1b30b2977,9dc366aff427ae664f67442b5b80b77703a07310e67ba2d089af5ea1b30b2977,True,PASS
I016,ISRUC_A1A2,dff1e370f24b440e30b2c22a1a41fa5bf89fc58be9b2ba1ca5aa1b28a3bc4fdb,dff1e370f24b440e30b2c22a1a41fa5bf89fc58be9b2ba1ca5aa1b28a3bc4fdb,True,PASS
I017,ISRUC_M1M2,c4fa15d8df074eabb0f931d6f8d1ff1d6d02fea5053b5fdb402e56ddc16b8d50,c4fa15d8df074eabb0f931d6f8d1ff1d6d02fea5053b5fdb402e56ddc16b8d50,True,PASS
I018,ISRUC_A1A2,946dd2028e6eace817c856f46213b8c8217750e5b896d242f720a43893a5e6f9,946dd2028e6eace817c856f46213b8c8217750e5b896d242f720a43893a5e6f9,True,PASS
I019,ISRUC_M1M2,3318b216607ae324ab3430d31f4ab3d57785bc04cd3738a4a534a6a0fb24f64d,3318b216607ae324ab3430d31f4ab3d57785bc04cd3738a4a534a6a0fb24f64d,True,PASS
I020,ISRUC_M1M2,3b050c244b36da2be145bb03ea0853e13777a654cfa2941b7b6609f6b8e00f5c,3b050c244b36da2be145bb03ea0853e13777a654cfa2941b7b6609f6b8e00f5c,True,PASS
I021,ISRUC_M1M2,567d8b82d818b04550a36b6ef2f3e7d6fa561b71aafeb66b038ddd4d0302407b,567d8b82d818b04550a36b6ef2f3e7d6fa561b71aafeb66b038ddd4d0302407b,True,PASS
I022,ISRUC_A1A2,b3e926c9346dcc754b04126e59a743c68154c990480cbb646c947626fa6e6fae,b3e926c9346dcc754b04126e59a743c68154c990480cbb646c947626fa6e6fae,True,PASS
I023,ISRUC_M1M2,464ca1361c1b1d25086dd95cb92120f46e3a6215ad3b0f125322c5129819e358,464ca1361c1b1d25086dd95cb92120f46e3a6215ad3b0f125322c5129819e358,True,PASS
I024,ISRUC_A1A2,acd19f2067de3355fd12d20075eb55b4a3ea4b593bed438b927555d4ba45a717,acd19f2067de3355fd12d20075eb55b4a3ea4b593bed438b927555d4ba45a717,True,PASS
I025,ISRUC_M1M2,54c9f3ff438f9324aa2466c87ac0af0d0aef146f98d37bdae2db83c5a1621874,54c9f3ff438f9324aa2466c87ac0af0d0aef146f98d37bdae2db83c5a1621874,True,PASS
I026,ISRUC_A1A2,ca138d858821100d71a8f8669bce2d85154be76a5ce501f31f97f3ee6355ccc6,ca138d858821100d71a8f8669bce2d85154be76a5ce501f31f97f3ee6355ccc6,True,PASS
I027,ISRUC_M1M2,4654bb9f4d91120eb178afd3e72e305cdcd9396f7f5056fa836fc15f34c5c17e,4654bb9f4d91120eb178afd3e72e305cdcd9396f7f5056fa836fc15f34c5c17e,True,PASS
I028,ISRUC_M1M2,86be7a9c53c5ad6263bf46e52b375c4fe93bd670c2f52e0351343586a8888180,86be7a9c53c5ad6263bf46e52b375c4fe93bd670c2f52e0351343586a8888180,True,PASS
I029,ISRUC_M1M2,83b001c973a9243b1e8db393dd348bebab80ecbb5e0b9cbf33903ec3e578d7e9,83b001c973a9243b1e8db393dd348bebab80ecbb5e0b9cbf33903ec3e578d7e9,True,PASS
I030,ISRUC_M1M2,751593bbbda2777e0f9cb01afbeed5c3d68d34f03697c43c6b6bcdbd42ca87bd,751593bbbda2777e0f9cb01afbeed5c3d68d34f03697c43c6b6bcdbd42ca87bd,True,PASS
I031,ISRUC_M1M2,94673329f6c238bd85ffd31981f3a7ff473122b45f863745306f575672316699,94673329f6c238bd85ffd31981f3a7ff473122b45f863745306f575672316699,True,PASS
I032,ISRUC_M1M2,e119ed9b41c354845258ef2a2ca5bff46c7601dd14943f0af020eb66827daff1,e119ed9b41c354845258ef2a2ca5bff46c7601dd14943f0af020eb66827daff1,True,PASS
I033,ISRUC_M1M2,6e1c81ea4d679bb088bbb7946b82959ccc97204fdab2ea332229a2f6fc2444c5,6e1c81ea4d679bb088bbb7946b82959ccc97204fdab2ea332229a2f6fc2444c5,True,PASS
I034,ISRUC_M1M2,68c91a9edca461b6f1ca55f4d04eb983eb9332b4eb5568c6817ff2869c8e7512,68c91a9edca461b6f1ca55f4d04eb983eb9332b4eb5568c6817ff2869c8e7512,True,PASS
I035,ISRUC_M1M2,601e2aee5f804442cd3c45ba23b214559a019ee96445c9bcb646262848a3cdcb,601e2aee5f804442cd3c45ba23b214559a019ee96445c9bcb646262848a3cdcb,True,PASS
I036,ISRUC_M1M2,396f35f2adc1efd3d29f152f94ef7612c2c7303f11d1da8b77a64b5a39363e61,396f35f2adc1efd3d29f152f94ef7612c2c7303f11d1da8b77a64b5a39363e61,True,PASS
