subject_id,exact_eeg_derivation,exact_eog_derivation,montage_variant,eeg_rate,eog_rate,units,signal_count,labels
I001,C3-A2,LOC-A2,ISRUC_A1A2,200.0,200.0,uV|uV,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8
I002,C3-A2,LOC-A2,ISRUC_A1A2,200.0,200.0,uV|uV,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8
I003,C3-A2,LOC-A2,ISRUC_A1A2,200.0,200.0,uV|uV,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8
I004,C3-A2,LOC-A2,ISRUC_A1A2,200.0,200.0,uV|uV,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8
I005,C3-A2,LOC-A2,ISRUC_A1A2,200.0,200.0,uV|uV,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8
I006,C3-A2,LOC-A2,ISRUC_A1A2,200.0,200.0,uV|uV,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8
I007,C3-A2,LOC-A2,ISRUC_A1A2,200.0,200.0,uV|uV,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8
I008,C3-A2,LOC-A2,ISRUC_A1A2,200.0,200.0,uV|uV,21,LOC-A2|ROC-A1|C3-A2|O1-A2|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8|DC4|DC5|DC6|DC7
I009,C3-A2,LOC-A2,ISRUC_A1A2,200.0,200.0,uV|uV,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8
I010,C3-A2,LOC-A2,ISRUC_A1A2,200.0,200.0,uV|uV,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8
I011,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,24,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|X7-X8|SpO2|DC8|DC1|DC2|DC3|DC5
I012,C3-A2,LOC-A2,ISRUC_A1A2,200.0,200.0,uV|uV,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8
I013,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8
I014,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02
I015,C3-A2,LOC-A2,ISRUC_A1A2,200.0,200.0,uV|uV,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8
