dataset,subject_id,recording_id,signal,min,max,median,mad,iqr,finite_values,total_values,flat_proportion
sleep_edf_sc,SC_00,SC4001E0,eeg,-192.0,170.61978149414062,0.42197802662849426,13.128205299377441,26.16263771057129,7950000,7950000,0.006755962679383694
sleep_edf_sc,SC_00,SC4001E0,eog,-505.9891052246094,503.6344909667969,0.47573748230934143,26.00564956665039,52.02342367172241,3975000,3975000,0.0
sleep_edf_sc,SC_00,SC4002E0,eeg,-208.0,209.0,0.7545787692070007,14.561904907226562,29.123809814453125,8487000,8487000,0.005074980219045562
sleep_edf_sc,SC_00,SC4002E0,eog,-545.4369506835938,493.54742431640625,1.1813552379608154,19.836029052734375,39.67662048339844,4243500,4243500,0.0
sleep_edf_sc,SC_01,SC4011E0,eeg,-204.0,204.0,-0.04981685057282448,11.557509422302246,23.214652061462402,8406000,8406000,0.011970204676838509
sleep_edf_sc,SC_01,SC4011E0,eog,-527.7974243164062,447.364990234375,0.6324716806411743,25.366714477539062,50.77220058441162,4203000,4203000,2.3808401413457175e-07
sleep_edf_sc,SC_01,SC4012E0,eeg,-192.0,189.0,-1.3604395389556885,11.816117286682129,23.632234573364258,8544000,8544000,0.011255975774696435
sleep_edf_sc,SC_01,SC4012E0,eog,-634.5084228515625,551.3851928710938,-4.202430725097656,33.173194885253906,66.43112516403198,4272000,4272000,4.684771120822121e-07
sleep_edf_sc,SC_02,SC4021E0,eeg,-184.4769287109375,157.15383911132812,-0.04615384712815285,7.384615421295166,14.769230842590332,8412000,8412000,0.013270709827669614
sleep_edf_sc,SC_02,SC4021E0,eog,-590.0675048828125,514.9671630859375,-1.1685941219329834,26.73388671875,53.47828388214111,4206000,4206000,0.0
sleep_edf_sc,SC_02,SC4022E0,eeg,-193.0,190.0,-1.5467643737792969,10.662271499633789,21.418071746826172,8265000,8265000,0.01242943049982178
sleep_edf_sc,SC_02,SC4022E0,eog,-712.6642456054688,636.7808227539062,-1.364044427871704,35.24571990966797,70.56097221374512,4132500,4132500,4.842914029800871e-07
sleep_edf_sc,SC_03,SC4031E0,eeg,-177.6593475341797,187.10549926757812,0.9516483545303345,7.736263751983643,15.472527503967285,8460000,8460000,0.007947802931946583
sleep_edf_sc,SC_03,SC4031E0,eog,-474.3441467285156,439.9170227050781,2.9986636638641357,32.23622131347656,64.51590061187744,4230000,4230000,0.0
sleep_edf_sc,SC_03,SC4032E0,eeg,-203.0,203.0,-0.0495726503431797,12.690598487854004,25.480341911315918,8196000,8196000,0.004015125588470925
sleep_edf_sc,SC_03,SC4032E0,eog,-564.9798583984375,496.6343994140625,-0.3752570152282715,29.62141227722168,59.26632738113403,4098000,4098000,0.0
sleep_edf_sc,SC_04,SC4041E0,eeg,-193.0,193.0,-0.04713064804673195,11.122833251953125,22.339926719665527,7707000,7707000,0.007351483840922191
sleep_edf_sc,SC_04,SC4041E0,eog,-644.2871704101562,628.7664794921875,-0.894680917263031,20.304574966430664,40.617862701416016,3853500,3853500,0.0
sleep_edf_sc,SC_04,SC4042E0,eeg,-198.0,198.0,0.24175824224948883,13.24835205078125,26.593406677246094,8364000,8364000,0.006011329457978102
sleep_edf_sc,SC_04,SC4042E0,eog,-564.8656616210938,500.38287353515625,-1.8670800924301147,20.011394500732422,40.2707896232605,4182000,4182000,0.0
sleep_edf_sc,SC_05,SC4051E0,eeg,-180.0,182.0,0.5137973427772522,18.298900604248047,36.59780311584473,8166000,8166000,0.005934380772037899
sleep_edf_sc,SC_05,SC4051E0,eog,-550.5352783203125,497.0008239746094,2.050429344177246,36.506813049316406,73.09923267364502,4083000,4083000,4.901626800918957e-07
sleep_edf_sc,SC_05,SC4052E0,eeg,-180.0,180.0,-0.21978022158145905,11.868132591247559,23.736263275146484,8412000,8412000,0.006085718539560738
sleep_edf_sc,SC_05,SC4052E0,eog,-549.1506958007812,490.83245849609375,0.06447887420654297,23.24159812927246,46.485026359558105,4206000,4206000,4.758283934415621e-07
sleep_edf_sc,SC_06,SC4061E0,eeg,-194.0,196.0,0.761904776096344,18.190475463867188,36.285715103149414,8310000,8310000,0.004140008161565287
